key,version,date_to,date_from,ano,numero,subempenho,indicador_subempenho,cod_modalidade_empenho,codigo,nome
106,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,132,92,x,0,105,"SEM TIPO INFORMADO"
107,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,134,83,x,0,106,"SEM TIPO INFORMADO"
108,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,134,90,x,0,107,"SEM TIPO INFORMADO"
109,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,136,85,x,0,108,"SEM TIPO INFORMADO"
110,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,138,83,x,0,109,"SEM TIPO INFORMADO"
111,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,138,88,x,0,110,"SEM TIPO INFORMADO"
112,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,139,83,x,0,111,"SEM TIPO INFORMADO"
113,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,139,87,x,0,112,"SEM TIPO INFORMADO"
114,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,140,91,x,0,113,"SEM TIPO INFORMADO"
115,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,141,83,x,0,114,"SEM TIPO INFORMADO"
116,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,141,84,x,0,115,"SEM TIPO INFORMADO"
117,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,149,82,x,0,116,"SEM TIPO INFORMADO"
118,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,149,85,x,0,117,"SEM TIPO INFORMADO"
119,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,149,86,x,0,118,"SEM TIPO INFORMADO"
120,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,149,87,x,0,119,"SEM TIPO INFORMADO"
121,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,150,84,x,0,120,"SEM TIPO INFORMADO"
122,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,162,83,x,0,121,"SEM TIPO INFORMADO"
123,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,162,84,x,0,122,"SEM TIPO INFORMADO"
124,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,162,85,x,0,123,"SEM TIPO INFORMADO"
125,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,162,87,x,0,124,"SEM TIPO INFORMADO"
126,1,"2038-01-01 03:00:00","1970-01-01 03:00:00",2021,163,84,x,0,125,"SEM TIPO INFORMADO"
